mean,std,min,median,skewness,kurtosis,rms,trend_slope,dominant_frequency,spectral_centroid,peak_value,rise_rate,electrode_speed,original_rise_rate,file_path
0.013008251489372343,0.09516373487238547,-0.508000021,0.007999999,4.761249992759286,61.50306944034193,0.09604869099406006,4.959506289061821e-06,29,1981.6633070731355,1.124000044,7.0416262965762035,0.0378,11005917.603550296,D:/Desktop/cq_html/data/1000\241021_155953.csv
0.01100375026131533,0.11207860251067446,-0.580000024,0.007999999,4.163086039632579,50.64965208446171,0.11261747493421774,2.9501399063254394e-06,22,1986.1870687399155,1.26800005,7.094761152251763,0.0378,12438302.57650543,D:/Desktop/cq_html/data/1000\241021_160058.csv
0.012258063908477121,0.10702477239088498,-0.568000023,0.007999999,4.93576007722352,62.94568133383011,0.10772447278174557,4.352223619639524e-06,29,1984.449797844536,1.28000005,7.098235111993494,0.0378,12538196.65845244,D:/Desktop/cq_html/data/1000\241021_160129.csv
0.01156188982395599,0.1067332048090893,-0.556000023,0.007999999,4.7662832175589145,60.66065280896504,0.10735760012742598,4.149137052228663e-06,22,1985.2051548329875,1.26800005,7.094332642649194,0.0378,12426036.00591716,D:/Desktop/cq_html/data/1000\241021_161454.csv
0.011096773525881471,0.10601505120834336,-0.520000022,0.007999999,4.620841675201524,55.31025112841444,0.10659422810542965,3.5026119659946244e-06,22,1985.498277887637,1.232000048,7.08195771812706,0.0378,12076961.509620128,D:/Desktop/cq_html/data/1000\241021_161544.csv
0.012594147960240063,0.09614072274035892,-0.460000019,0.007999999,5.197513455113748,65.56839329298069,0.09696211183695921,4.636715476602138e-06,29,1982.4695357353166,1.160000045,7.05498649244424,0.0378,11349754.147783253,D:/Desktop/cq_html/data/1000\241021_161609.csv
0.010163540182295577,0.10750508134875808,-0.544000022,0.007999999,4.7914263587116706,59.097952932642016,0.1079844436242565,1.741444741702246e-06,22,1986.9707367186556,1.26800005,7.0945468446002495,0.0378,12432166.265416872,D:/Desktop/cq_html/data/1000\241021_161643.csv
0.013716428601650416,0.10000993900095122,-0.508000021,0.007999999,4.871542825639244,61.616130794164505,0.10094616541780156,4.688427756201614e-06,29,1981.39934779611,1.184000046,7.107328212375321,0.0378,12803484.452912357,D:/Desktop/cq_html/data/1000\241021_161711.csv
0.014214553127531886,0.10179375371237892,-0.508000021,0.007999999,5.314178440637199,67.73421864514026,0.10278142738584575,5.2985633050608176e-06,29,1981.3686322505475,1.244000049,7.129412447635498,0.0378,13471390.190735696,D:/Desktop/cq_html/data/1000\241021_161738.csv
0.011048761520130035,0.1137995869463918,-0.568000023,0.007999999,5.148718097091927,63.03434843582471,0.11433468905060308,2.9384896577386584e-06,23,1986.7729571299121,1.364000053,7.169653663287167,0.0378,14779292.141689375,D:/Desktop/cq_html/data/1000\241021_161812.csv
0.012504125432858216,0.11037949446562617,-0.580000024,0.007999999,4.8007879579186366,60.806729747280734,0.11108548938240247,5.318382641079914e-06,23,1984.474775168998,1.304000051,7.106567097942173,0.0378,12781065.601577912,D:/Desktop/cq_html/data/1000\241021_161845.csv
0.010526630963490876,0.11501839021262701,-0.580000024,0.007999999,4.767600864155979,57.71970521131423,0.11549909110701113,3.1804696220417024e-06,22,1987.2708619998864,1.340000052,7.118894829783037,0.0378,13149062.714708786,D:/Desktop/cq_html/data/1000\241021_161918.csv
0.012216053429107279,0.10884034098795425,-0.568000023,0.007999999,5.335265373948527,69.30574321099593,0.10952374987990943,4.318750019067297e-06,29,1985.0179439392102,1.340000052,7.119323762606932,0.0378,13162055.859683793,D:/Desktop/cq_html/data/1000\241021_161948.csv
0.012465115692423109,0.10477185155101147,-0.568000023,0.007999999,4.968672512610636,64.13087872034785,0.1055107576821088,4.303693004159241e-06,29,1983.843963949162,1.256000049,7.089962586680482,0.0378,12301626.909807788,D:/Desktop/cq_html/data/1000\241021_162028.csv
0.01182295508627157,0.10856585207922512,-0.544000022,0.007999999,4.76103121459365,58.36296969667881,0.10920772181791993,2.8382715112757047e-06,22,1985.0483221753404,1.26800005,7.0945468446002495,0.0378,12432166.265416872,D:/Desktop/cq_html/data/1000\241021_162101.csv
0.012594147930982746,0.11129456716690751,-0.580000024,0.007999999,5.139214997007483,64.94683837837023,0.11200488044266983,3.6626102270126066e-06,29,1984.6917632675188,1.352000053,7.122575565887919,0.0378,13260977.345831279,D:/Desktop/cq_html/data/1000\241021_162213.csv
0.011474868061015256,0.10493057603392954,-0.532000022,0.007999999,5.3693988655202665,67.66299076071203,0.10555613854167827,2.9878827236686558e-06,29,1985.2485882959224,1.28000005,7.098877717951364,0.0378,12556762.596248766,D:/Desktop/cq_html/data/1000\241021_162256.csv
0.012006000894223559,0.10064053307457523,-0.508000021,0.007999999,5.422736870642476,69.03002611722461,0.10135413634877842,3.872107338471934e-06,29,1984.150582643873,1.244000049,7.088342621208316,0.0378,12255825.979176998,D:/Desktop/cq_html/data/1000\241021_162336.csv
0.012744185485121282,0.09950213204071016,-0.496000021,0.007999999,5.268879954316444,66.6063183713918,0.10031494676430876,4.890233096333049e-06,29,1982.7752480569543,1.208000047,7.073357547070161,0.0378,11840158.3423779,D:/Desktop/cq_html/data/1000\241021_162404.csv
0.011480869587146789,0.10895742032100117,-0.568000023,0.007999999,5.223625241753171,66.7563644574929,0.1095606216187385,3.5347300756694916e-06,29,1985.7992989251866,1.328000052,7.114964536611959,0.0378,13030602.694965448,D:/Desktop/cq_html/data/1000\241021_162445.csv
0.014838709192798201,0.10280044048755492,-0.496000021,0.007999999,5.074975843579869,62.819563527414815,0.10386586472438264,6.056488443019331e-06,29,1980.333324793084,1.232000048,7.081101543486225,0.0378,12053176.258000985,D:/Desktop/cq_html/data/1000\241021_162613.csv
0.011294823063765943,0.09528173603461834,-0.460000019,0.007999999,5.084785237974709,63.791085956900986,0.09594885225896384,3.1547080860441465e-06,29,1983.7887238527908,1.136000044,7.045843113802469,0.0378,11113300.93596059,D:/Desktop/cq_html/data/1000\241021_162643.csv
0.011462865099774943,0.0983000918242634,-0.47200002,0.007999999,5.008494323911431,61.839774939276836,0.09896618275428357,3.126064384928399e-06,29,1983.9177630918164,1.160000045,7.050652855758707,0.0378,11237063.035978315,D:/Desktop/cq_html/data/1000\241021_162710.csv
0.010478618945736436,0.129327710584604,-0.616000025,0.007999999,4.1707257220137635,48.733986080758314,0.12975152476971144,3.1550232992096176e-06,22,1988.4236895007484,1.460000057,7.156357218650562,0.0378,14333662.961500494,D:/Desktop/cq_html/data/1000\241021_162740.csv
0.01190397539634909,0.10145594574062292,-0.508000021,0.007999999,5.1247569201066066,65.04915971838409,0.10215191411011891,3.609123627673735e-06,29,1984.0361455846273,1.220000048,7.077250622371464,0.0378,11946772.291769344,D:/Desktop/cq_html/data/1000\241021_162809.csv
0.01135783879094774,0.11783919703750521,-0.592000024,0.007999999,4.822367208891893,58.98265660686536,0.11838528988199984,3.3217968829992664e-06,22,1986.7705058302047,1.388000054,7.134269690229524,0.0378,13622902.813425468,D:/Desktop/cq_html/data/1000\241021_162841.csv
0.012438108914728683,0.10730643826244,-0.556000023,0.007999999,5.149821802200099,64.06106641568678,0.10802489641719407,4.0959093977418155e-06,29,1984.3194645182084,1.29200005,7.102955629885829,0.0378,12675222.615992103,D:/Desktop/cq_html/data/1000\241021_162918.csv
0.011120779549637411,0.10003442248121953,-0.496000021,0.007999999,5.5025079701498365,69.16987732249525,0.10065067023593412,2.3926939075391026e-06,29,1985.2017084760284,1.232000048,7.08195771812706,0.0378,12076961.509620128,D:/Desktop/cq_html/data/1000\241021_163011.csv
0.00966241488172043,0.11444065830655326,-0.556000023,0.007999999,4.294090086443352,51.731999076903335,0.1148478407937379,2.477454184361685e-06,22,1988.1970606501407,1.304000051,7.107210021002517,0.0378,12800000.513580248,D:/Desktop/cq_html/data/1000\241021_163054.csv
0.011921979898724684,0.10662268481270187,-0.568000023,0.007999999,5.055553344307177,65.58239305386716,0.10728714052193934,4.424045740962941e-06,29,1984.8779477034527,1.29200005,7.102527120282616,0.0378,12662722.396449706,D:/Desktop/cq_html/data/1000\241021_163125.csv
0.013482370052513133,0.1070820931988894,-0.556000023,0.007999999,4.963422103928759,63.973684766206546,0.10792751727936921,5.28457807802438e-06,29,1982.7974138019629,1.28000005,7.097379780457087,0.0403,12513527.309394984,D:/Desktop/cq_html/data/1100\241021_163257.csv
0.012600149434608654,0.10921255744429242,-0.580000024,0.007999999,5.179788812856458,66.4427530977733,0.10993701137150011,3.883163126375078e-06,29,1984.3381171454662,1.328000052,7.110569839924241,0.0403,12899408.79684418,D:/Desktop/cq_html/data/1100\241021_163323.csv
0.012963240190047515,0.12358223075301598,-0.604000025,0.007999999,4.787079507900599,57.920386438140454,0.1242602645825147,3.752029264653331e-06,22,1985.539671425776,1.460000057,7.1561429109967705,0.0403,14326591.593487913,D:/Desktop/cq_html/data/1100\241021_163348.csv
0.01232408040835209,0.1134690566934294,-0.592000024,0.007999999,5.499553543692663,69.73894460318088,0.11413636486592792,2.6076063143090633e-06,29,1985.352780443513,1.400000055,7.137815531337637,0.0403,13734583.680315739,D:/Desktop/cq_html/data/1100\241021_163417.csv
0.0109737427951988,0.10796005663390361,-0.544000022,0.007999999,5.660583941959382,72.53343164981831,0.10851634374291667,2.9261481899235425e-06,29,1986.4114873410342,1.352000053,7.122789873540509,0.0403,13267522.744323792,D:/Desktop/cq_html/data/1100\241021_163512.csv
0.012135033164791198,0.10395460677278441,-0.532000022,0.007999999,4.898489305153351,62.31822102683333,0.10466049540870145,3.891847907372666e-06,29,1983.9196490569711,1.232000048,7.082172025778067,0.0403,12082922.497532083,D:/Desktop/cq_html/data/1100\241021_163537.csv
0.01144786135058765,0.10267332424057268,-0.508000021,0.007999999,5.25293615195634,65.49167279910174,0.10330955928718333,2.694109446094389e-06,29,1984.7663178333255,1.232000048,7.084105568429895,0.0403,12136837.372335153,D:/Desktop/cq_html/data/1100\241021_163605.csv
0.013206301011752939,0.10513997185802444,-0.544000022,0.007999999,5.009473817692129,63.97262454542839,0.10596612698744443,4.576309437044478e-06,29,1982.9117616799704,1.256000049,7.090605192637367,0.0403,12319842.546890426,D:/Desktop/cq_html/data/1100\241021_163633.csv
0.010148536427856967,0.11837486730778168,-0.592000024,0.007999999,4.773633025175297,57.247443581644106,0.11880909898556785,2.5577516497068826e-06,22,1988.1365763329284,1.388000054,7.133841180623958,0.0403,13609467.998027613,D:/Desktop/cq_html/data/1100\241021_163703.csv
0.012186045904476122,0.10745840655563242,-0.556000023,0.007999999,5.1058432879776365,65.77070792532557,0.10814716295059054,4.4265946534531305e-06,29,1984.6019370865606,1.29200005,7.103170043342492,0.0403,12681481.985185185,D:/Desktop/cq_html/data/1100\241021_163847.csv
